sno,occupation_title,nco_2015,nco_2004,division,subdivision,group,family,description,embed_data
2670,Batching and Mixing Plant Operator (Construction),8114.0200,8212.20,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Mining and Mineral Processing Plant Operators,"Cement, Stone and Other Mineral Products Machine Operators","Batching and Mixing Plant Operator (Construction) belongs to the Cement, Stone and Other Mineral Products Machine Operators family under Mining and Mineral Processing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Batching and Mixing Plant Operator (Construction) NCO 2015: 8114.0200, NCO 2004: 8212.20 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Mining and Mineral Processing Plant Operators, and family Cement, Stone and Other Mineral Products Machine Operators. Description: Batching and Mixing Plant Operator (Construction) belongs to the Cement, Stone and Other Mineral Products Machine Operators family under Mining and Mineral Processing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2671,Concrete Mixer Operator,8114.0300,8212.30,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Mining and Mineral Processing Plant Operators,"Cement, Stone and Other Mineral Products Machine Operators","Concrete Mixer Operator belongs to the Cement, Stone and Other Mineral Products Machine Operators family under Mining and Mineral Processing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Concrete Mixer Operator NCO 2015: 8114.0300, NCO 2004: 8212.30 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Mining and Mineral Processing Plant Operators, and family Cement, Stone and Other Mineral Products Machine Operators. Description: Concrete Mixer Operator belongs to the Cement, Stone and Other Mineral Products Machine Operators family under Mining and Mineral Processing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2672,Cast Stone Maker,8114.0500,8212.50,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Mining and Mineral Processing Plant Operators,"Cement, Stone and Other Mineral Products Machine Operators","Cast Stone Maker belongs to the Cement, Stone and Other Mineral Products Machine Operators family under Mining and Mineral Processing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Cast Stone Maker NCO 2015: 8114.0500, NCO 2004: 8212.50 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Mining and Mineral Processing Plant Operators, and family Cement, Stone and Other Mineral Products Machine Operators. Description: Cast Stone Maker belongs to the Cement, Stone and Other Mineral Products Machine Operators family under Mining and Mineral Processing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2673,Lead Brush Maker (Abrasive Wheel),8114.0600,8212.60,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Mining and Mineral Processing Plant Operators,"Cement, Stone and Other Mineral Products Machine Operators","Lead Brush Maker (Abrasive Wheel) belongs to the Cement, Stone and Other Mineral Products Machine Operators family under Mining and Mineral Processing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Lead Brush Maker (Abrasive Wheel) NCO 2015: 8114.0600, NCO 2004: 8212.60 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Mining and Mineral Processing Plant Operators, and family Cement, Stone and Other Mineral Products Machine Operators. Description: Lead Brush Maker (Abrasive Wheel) belongs to the Cement, Stone and Other Mineral Products Machine Operators family under Mining and Mineral Processing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2674,Fettler (Brick & Tile),8114.0700,8212.70,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Mining and Mineral Processing Plant Operators,"Cement, Stone and Other Mineral Products Machine Operators","Fettler (Brick & Tile) belongs to the Cement, Stone and Other Mineral Products Machine Operators family under Mining and Mineral Processing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Fettler (Brick & Tile) NCO 2015: 8114.0700, NCO 2004: 8212.70 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Mining and Mineral Processing Plant Operators, and family Cement, Stone and Other Mineral Products Machine Operators. Description: Fettler (Brick & Tile) belongs to the Cement, Stone and Other Mineral Products Machine Operators family under Mining and Mineral Processing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2675,"Cement and Other Mineral Products Machine Operators, Other",8114.9900,8212.90,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Mining and Mineral Processing Plant Operators,"Cement, Stone and Other Mineral Products Machine Operators","Cement and Other Mineral Products Machine Operators, Other belongs to the Cement, Stone and Other Mineral Products Machine Operators family under Mining and Mineral Processing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Cement and Other Mineral Products Machine Operators, Other NCO 2015: 8114.9900, NCO 2004: 8212.90 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Mining and Mineral Processing Plant Operators, and family Cement, Stone and Other Mineral Products Machine Operators. Description: Cement and Other Mineral Products Machine Operators, Other belongs to the Cement, Stone and Other Mineral Products Machine Operators family under Mining and Mineral Processing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2676,Flattening Machine and Flying Shear Operator (Non-Ferrous Metal),8121.2400,8122.38,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,Metal Processing Plant Operators,"Flattening Machine and Flying Shear Operator (Non-Ferrous Metal) belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Flattening Machine and Flying Shear Operator (Non-Ferrous Metal) NCO 2015: 8121.2400, NCO 2004: 8122.38 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Processing Plant Operators. Description: Flattening Machine and Flying Shear Operator (Non-Ferrous Metal) belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2677,"Hardener, Metal",8121.4800,8123.20,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,Metal Processing Plant Operators,"Hardener, Metal belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Hardener, Metal NCO 2015: 8121.4800, NCO 2004: 8123.20 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Processing Plant Operators. Description: Hardener, Metal belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2678,Slitting Machine Operator (Non-Ferrous Metal),8121.2500,8122.40,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,Metal Processing Plant Operators,"Slitting Machine Operator (Non-Ferrous Metal) belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Slitting Machine Operator (Non-Ferrous Metal) NCO 2015: 8121.2500, NCO 2004: 8122.40 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Processing Plant Operators. Description: Slitting Machine Operator (Non-Ferrous Metal) belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2679,"Temperer, Metal",8121.4900,8123.30,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,Metal Processing Plant Operators,"Temperer, Metal belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Temperer, Metal NCO 2015: 8121.4900, NCO 2004: 8123.30 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Processing Plant Operators. Description: Temperer, Metal belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2680,"Roller, Second Hand, Strip Mill (Non-Ferrous Metal)",8121.2700,8122.44,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,Metal Processing Plant Operators,"Roller, Second Hand, Strip Mill (Non-Ferrous Metal) belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Roller, Second Hand, Strip Mill (Non-Ferrous Metal) NCO 2015: 8121.2700, NCO 2004: 8122.44 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Processing Plant Operators. Description: Roller, Second Hand, Strip Mill (Non-Ferrous Metal) belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2681,"Looper, Metal Drawing",8121.5200,8124.15,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,Metal Processing Plant Operators,"Looper, Metal Drawing belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Looper, Metal Drawing NCO 2015: 8121.5200, NCO 2004: 8124.15 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Processing Plant Operators. Description: Looper, Metal Drawing belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2682,"Charger, Reveraberatory, Pulverised Coal Fired/Reverberatory Furnace Operator",8121.3000,8122.50,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,Metal Processing Plant Operators,"Charger, Reveraberatory, Pulverised Coal Fired/Reverberatory Furnace Operator belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Charger, Reveraberatory, Pulverised Coal Fired/Reverberatory Furnace Operator NCO 2015: 8121.3000, NCO 2004: 8122.50 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Processing Plant Operators. Description: Charger, Reveraberatory, Pulverised Coal Fired/Reverberatory Furnace Operator belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2683,Seamless Pipe and Tube Drawers,8121.5500,8124.40,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,Metal Processing Plant Operators,"Seamless Pipe and Tube Drawers belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Seamless Pipe and Tube Drawers NCO 2015: 8121.5500, NCO 2004: 8124.40 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Processing Plant Operators. Description: Seamless Pipe and Tube Drawers belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2684,"Melter Reveraberatory – Furnace, Pulverised Coal Fired/Reverberatory Furnace Operator",8121.3100,8122.52,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,Metal Processing Plant Operators,"Melter Reveraberatory – Furnace, Pulverised Coal Fired/Reverberatory Furnace Operator belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Melter Reveraberatory – Furnace, Pulverised Coal Fired/Reverberatory Furnace Operator NCO 2015: 8121.3100, NCO 2004: 8122.52 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Processing Plant Operators. Description: Melter Reveraberatory – Furnace, Pulverised Coal Fired/Reverberatory Furnace Operator belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2685,Extrusion Press Operator,8121.5600,8124.50,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,Metal Processing Plant Operators,"Extrusion Press Operator belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Extrusion Press Operator NCO 2015: 8121.5600, NCO 2004: 8124.50 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Processing Plant Operators. Description: Extrusion Press Operator belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2686,Slag Flusher,8121.3300,8122.56,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,Metal Processing Plant Operators,"Slag Flusher belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Slag Flusher NCO 2015: 8121.3300, NCO 2004: 8122.56 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Processing Plant Operators. Description: Slag Flusher belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2687,Metal Drawing Operatives,8121.5800,8124.90,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,Metal Processing Plant Operators,"Metal Drawing Operatives belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Metal Drawing Operatives NCO 2015: 8121.5800, NCO 2004: 8124.90 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Processing Plant Operators. Description: Metal Drawing Operatives belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2688,Casting or Foundry Assistant/Helper,8121.3301,,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,Metal Processing Plant Operators,"Casting or Foundry Assistant/Helper belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Casting or Foundry Assistant/Helper NCO 2015: 8121.3301, NCO 2004: nan belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Processing Plant Operators. Description: Casting or Foundry Assistant/Helper belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2689,"Metal Processing Plant Operators, Other",8121.9900,8124.70,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,Metal Processing Plant Operators,"Metal Processing Plant Operators, Other belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Metal Processing Plant Operators, Other NCO 2015: 8121.9900, NCO 2004: 8124.70 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Processing Plant Operators. Description: Metal Processing Plant Operators, Other belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2690,Heat Treating Furnace Operator,8121.3701,8122.64,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,Metal Processing Plant Operators,"Heat Treating Furnace Operator belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Heat Treating Furnace Operator NCO 2015: 8121.3701, NCO 2004: 8122.64 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Processing Plant Operators. Description: Heat Treating Furnace Operator belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2691,Assistant Casting Technician,8121.3801,,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,Metal Processing Plant Operators,"Assistant Casting Technician belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Assistant Casting Technician NCO 2015: 8121.3801, NCO 2004: nan belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Processing Plant Operators. Description: Assistant Casting Technician belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2692,Die Casting Machine Operator,8121.4200,8122.74,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,Metal Processing Plant Operators,"Die Casting Machine Operator belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Die Casting Machine Operator NCO 2015: 8121.4200, NCO 2004: 8122.74 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Processing Plant Operators. Description: Die Casting Machine Operator belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2693,Pressure Die Casting (PDC) Operator,8121.4201,,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,Metal Processing Plant Operators,"Pressure Die Casting (PDC) Operator belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Pressure Die Casting (PDC) Operator NCO 2015: 8121.4201, NCO 2004: nan belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Processing Plant Operators. Description: Pressure Die Casting (PDC) Operator belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2694,Casting Machine Operator (Non-Ferrous Metal),8121.4300,8122.76,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,Metal Processing Plant Operators,"Casting Machine Operator (Non-Ferrous Metal) belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Casting Machine Operator (Non-Ferrous Metal) NCO 2015: 8121.4300, NCO 2004: 8122.76 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Processing Plant Operators. Description: Casting Machine Operator (Non-Ferrous Metal) belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2695,Casting – Operator Helper (Non-Ferrous Metal),8121.4400,8122.77,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,Metal Processing Plant Operators,"Casting – Operator Helper (Non-Ferrous Metal) belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Casting – Operator Helper (Non-Ferrous Metal) NCO 2015: 8121.4400, NCO 2004: 8122.77 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Processing Plant Operators. Description: Casting – Operator Helper (Non-Ferrous Metal) belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2696,Spun Pipe Machine Operator,8121.4500,8122.78,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,Metal Processing Plant Operators,"Spun Pipe Machine Operator belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Spun Pipe Machine Operator NCO 2015: 8121.4500, NCO 2004: 8122.78 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Processing Plant Operators. Description: Spun Pipe Machine Operator belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2697,"Larry Car Driver, Furnace",8121.0300,8121.20,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,Metal Processing Plant Operators,"Larry Car Driver, Furnace belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Larry Car Driver, Furnace NCO 2015: 8121.0300, NCO 2004: 8121.20 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Processing Plant Operators. Description: Larry Car Driver, Furnace belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2698,"Core Maker, Machine",8121.4600,8122.80,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,Metal Processing Plant Operators,"Core Maker, Machine belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Core Maker, Machine NCO 2015: 8121.4600, NCO 2004: 8122.80 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Processing Plant Operators. Description: Core Maker, Machine belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2699,Shearing and Upcoiler Operator (NonFerrous Metal)/Coil Operator,8121.2300,8122.36,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,Metal Processing Plant Operators,"Shearing and Upcoiler Operator (NonFerrous Metal)/Coil Operator belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Shearing and Upcoiler Operator (NonFerrous Metal)/Coil Operator NCO 2015: 8121.2300, NCO 2004: 8122.36 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Processing Plant Operators. Description: Shearing and Upcoiler Operator (NonFerrous Metal)/Coil Operator belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2700,"Annealer, Metal",8121.4700,8123.10,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,Metal Processing Plant Operators,"Annealer, Metal belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Annealer, Metal NCO 2015: 8121.4700, NCO 2004: 8123.10 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Processing Plant Operators. Description: Annealer, Metal belongs to the Metal Processing Plant Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2701,"Hardness Tester, Metal",8122.6900,8223.69,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,"Metal Finishing, Plating and Coating Machine Operators","Hardness Tester, Metal belongs to the Metal Finishing, Plating and Coating Machine Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Hardness Tester, Metal NCO 2015: 8122.6900, NCO 2004: 8223.69 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Finishing, Plating and Coating Machine Operators. Description: Hardness Tester, Metal belongs to the Metal Finishing, Plating and Coating Machine Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2702,Speeder Machine Operator (Abrasive Wheel),8122.7000,8223.70,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,"Metal Finishing, Plating and Coating Machine Operators","Speeder Machine Operator (Abrasive Wheel) belongs to the Metal Finishing, Plating and Coating Machine Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Speeder Machine Operator (Abrasive Wheel) NCO 2015: 8122.7000, NCO 2004: 8223.70 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Finishing, Plating and Coating Machine Operators. Description: Speeder Machine Operator (Abrasive Wheel) belongs to the Metal Finishing, Plating and Coating Machine Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2703,Sizing Machine Operator (Abrasive Wheel),8122.7100,8223.71,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,"Metal Finishing, Plating and Coating Machine Operators","Sizing Machine Operator (Abrasive Wheel) belongs to the Metal Finishing, Plating and Coating Machine Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Sizing Machine Operator (Abrasive Wheel) NCO 2015: 8122.7100, NCO 2004: 8223.71 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Finishing, Plating and Coating Machine Operators. Description: Sizing Machine Operator (Abrasive Wheel) belongs to the Metal Finishing, Plating and Coating Machine Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2704,Abrasive Coated Cloth and Papermaker,8122.7200,8223.72,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,"Metal Finishing, Plating and Coating Machine Operators","Abrasive Coated Cloth and Papermaker belongs to the Metal Finishing, Plating and Coating Machine Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Abrasive Coated Cloth and Papermaker NCO 2015: 8122.7200, NCO 2004: 8223.72 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Finishing, Plating and Coating Machine Operators. Description: Abrasive Coated Cloth and Papermaker belongs to the Metal Finishing, Plating and Coating Machine Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
